arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [3, 3, 7, 5, 5, 5, 3, 3, 7, 3, 3, 5, 3, 7, 3, 3, 3, 5, 3, 3], 'e': [3, 4, 3, 6, 3, 4, 3, 6, 6, 3, 3, 3, 3, 4, 3, 4, 3, 6, 4, 6], 'd': [4, 4, 4, 3, 2], 'r': [208]}",14.94,45.88
"{'wid': None, 'ks': [3, 7, 3, 7, 5, 5, 5, 7, 7, 3, 5, 5, 7, 7, 3, 3, 5, 7, 3, 3], 'e': [3, 3, 6, 3, 3, 6, 6, 3, 3, 4, 4, 4, 6, 4, 4, 4, 4, 3, 6, 3], 'd': [2, 2, 4, 2, 2], 'r': [208]}",13.18,34.06
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 5, 5, 3, 7, 3, 5, 7, 3, 3, 5, 5, 5, 5, 5, 5], 'e': [4, 4, 4, 4, 3, 3, 3, 6, 6, 6, 3, 6, 3, 3, 6, 3, 6, 3, 4, 3], 'd': [3, 4, 3, 3, 3], 'r': [176]}",14.61,38.53
"{'wid': None, 'ks': [5, 7, 5, 3, 7, 7, 7, 7, 7, 7, 5, 3, 5, 5, 7, 3, 5, 7, 3, 3], 'e': [6, 3, 3, 6, 3, 3, 4, 4, 4, 6, 4, 6, 3, 3, 6, 3, 3, 4, 4, 4], 'd': [4, 3, 3, 2, 2], 'r': [176]}",12.08,34.77
"{'wid': None, 'ks': [3, 5, 5, 3, 3, 7, 7, 7, 5, 7, 5, 7, 3, 3, 3, 3, 3, 3, 5, 3], 'e': [3, 3, 6, 3, 3, 4, 6, 6, 6, 4, 6, 3, 4, 4, 4, 3, 3, 3, 4, 3], 'd': [3, 4, 4, 2, 2], 'r': [192]}",15.73,39.67
"{'wid': None, 'ks': [3, 7, 3, 5, 7, 7, 3, 5, 7, 3, 5, 5, 5, 7, 7, 7, 5, 5, 3, 5], 'e': [3, 4, 6, 6, 3, 6, 6, 3, 4, 3, 4, 6, 3, 3, 4, 6, 6, 6, 6, 4], 'd': [2, 4, 2, 4, 4], 'r': [208]}",19.45,49.42
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 7, 5, 5, 5, 3, 3, 3, 5], 'e': [4, 3, 3, 4, 4, 4, 4, 6, 3, 4, 6, 4, 6, 6, 6, 6, 6, 4, 4, 4], 'd': [2, 3, 2, 4, 4], 'r': [224]}",15.63,51.5
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7, 5, 5, 7, 7, 3, 7, 3, 5], 'e': [4, 4, 3, 6, 3, 6, 3, 6, 6, 6, 6, 6, 4, 3, 6, 6, 4, 6, 4, 6], 'd': [4, 4, 4, 2, 3], 'r': [192]}",14.5,44.0
"{'wid': None, 'ks': [5, 5, 3, 3, 3, 7, 3, 5, 3, 3, 3, 7, 7, 5, 3, 5, 3, 3, 7, 7], 'e': [6, 3, 4, 3, 4, 4, 4, 6, 4, 6, 6, 4, 3, 3, 4, 4, 3, 4, 3, 6], 'd': [3, 2, 4, 4, 4], 'r': [192]}",20.18,48.3
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 5, 3, 3, 3, 5, 7, 7, 7, 5, 5, 3, 3, 3, 7, 3], 'e': [4, 6, 3, 6, 4, 3, 6, 6, 4, 4, 6, 6, 3, 4, 6, 4, 3, 6, 3, 4], 'd': [2, 4, 4, 3, 3], 'r': [208]}",15.39,45.05
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 7, 3, 7, 7, 7, 5, 5, 7, 5, 7, 5, 5, 7, 3, 7], 'e': [6, 6, 6, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4], 'd': [3, 2, 3, 3, 4], 'r': [208]}",16.6,47.08
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 7, 5, 7, 5, 3, 5], 'e': [4, 4, 6, 3, 4, 3, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 6, 4, 4, 3], 'd': [4, 4, 3, 4, 2], 'r': [176]}",15.17,43.25
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 5, 7, 5, 7, 7, 3, 7, 7, 3, 7, 5, 3, 5, 7, 7], 'e': [3, 4, 4, 6, 4, 6, 6, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 6], 'd': [3, 2, 3, 2, 4], 'r': [208]}",12.36,38.62
