arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [3, 5, 7, 7, 3, 7, 3, 3, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 3, 3], 'e': [4, 4, 6, 3, 3, 3, 6, 3, 4, 4, 3, 4, 4, 6, 3, 3, 6, 4, 3, 4], 'd': [4, 3, 4, 3, 3], 'r': [208]}",16.46,148.82
"{'wid': None, 'ks': [3, 5, 7, 7, 3, 7, 3, 3, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 3, 3], 'e': [4, 4, 6, 3, 3, 3, 6, 3, 4, 4, 3, 4, 4, 6, 3, 3, 6, 4, 3, 4], 'd': [4, 3, 4, 3, 3], 'r': [224]}",16.99,120.86
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 3, 3, 5, 5, 3, 7, 7, 7, 7, 7, 7, 7, 5], 'e': [6, 3, 4, 6, 3, 6, 3, 3, 3, 6, 4, 3, 6, 6, 6, 6, 3, 4, 4, 6], 'd': [4, 3, 3, 2, 2], 'r': [160]}",12.91,81.3
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 3, 3, 5, 5, 3, 7, 7, 7, 7, 7, 7, 7, 5], 'e': [6, 3, 4, 6, 3, 6, 3, 3, 3, 6, 4, 3, 6, 6, 6, 6, 3, 4, 4, 6], 'd': [4, 3, 3, 2, 2], 'r': [176]}",13.03,87.91
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 3, 3, 5, 5, 3, 7, 7, 7, 7, 7, 7, 7, 5], 'e': [6, 3, 4, 6, 3, 6, 3, 3, 3, 6, 4, 3, 6, 6, 6, 6, 3, 4, 4, 6], 'd': [4, 3, 3, 2, 2], 'r': [192]}",14.16,96.87
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 3, 3, 5, 5, 3, 7, 7, 7, 7, 7, 7, 7, 5], 'e': [6, 3, 4, 6, 3, 6, 3, 3, 3, 6, 4, 3, 6, 6, 6, 6, 3, 4, 4, 6], 'd': [4, 3, 3, 2, 2], 'r': [208]}",13.44,102.5
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 3, 3, 5, 5, 3, 7, 7, 7, 7, 7, 7, 7, 5], 'e': [6, 3, 4, 6, 3, 6, 3, 3, 3, 6, 4, 3, 6, 6, 6, 6, 3, 4, 4, 6], 'd': [4, 3, 3, 2, 2], 'r': [224]}",15.23,96.16
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 5, 7, 3, 7, 7, 7, 5, 3, 5, 3, 3, 3, 3, 7, 3], 'e': [4, 6, 6, 3, 4, 4, 6, 6, 3, 3, 4, 3, 3, 6, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 3, 3], 'r': [160]}",14.78,88.14
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 5, 7, 3, 7, 7, 7, 5, 3, 5, 3, 3, 3, 3, 7, 3], 'e': [4, 6, 6, 3, 4, 4, 6, 6, 3, 3, 4, 3, 3, 6, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 3, 3], 'r': [176]}",16.7,87.83
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 5, 7, 3, 7, 7, 7, 5, 3, 5, 3, 3, 3, 3, 7, 3], 'e': [4, 6, 6, 3, 4, 4, 6, 6, 3, 3, 4, 3, 3, 6, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 3, 3], 'r': [192]}",13.69,94.64
